2026-01-14 16:19:28 | INFO     | Orchestrator    | 
================================================================================
2026-01-14 16:19:28 | INFO     | Orchestrator    | Workflow completed successfully in 0.14s
2026-01-14 16:19:28 | INFO     | Orchestrator    | ================================================================================
2026-01-14 16:19:28 | INFO     | StateManager    | State saved: data\outputs\state\enterprise_analysis_20260114_161928.json
2026-01-14 16:30:40 | INFO     | LLMUtils        | Initializing LLM provider: huggingface (model: openai-community/gpt2)
2026-01-14 16:33:08 | INFO     | Analyzer        | Loading sentiment analysis model: distilbert-base-uncased-finetuned-sst-2-english
2026-01-14 16:33:10 | INFO     | Analyzer        | ML models loaded successfully
2026-01-14 16:33:10 | INFO     | LLMUtils        | Initializing LLM provider: huggingface (model: openai-community/gpt2)
2026-01-14 16:33:12 | INFO     | Orchestrator    | Initialized 5 agents: ['DataFetcher', 'Analyzer', 'DecisionMaker', 'Notifier', 'Supervisor']
2026-01-14 16:33:12 | INFO     | WorkflowManager | Registered workflow 'enterprise_analysis' with 5 steps
2026-01-14 16:33:12 | INFO     | WorkflowManager | Registered workflow 'quick_sentiment_check' with 3 steps
2026-01-14 16:33:12 | INFO     | Orchestrator    | Orchestrator initialized successfully
2026-01-14 16:33:39 | INFO     | LLMUtils        | Initializing LLM provider: huggingface (model: openai-community/gpt2)
2026-01-14 16:33:47 | INFO     | Analyzer        | Loading sentiment analysis model: distilbert-base-uncased-finetuned-sst-2-english
2026-01-14 16:33:49 | INFO     | Analyzer        | ML models loaded successfully
2026-01-14 16:33:49 | INFO     | LLMUtils        | Initializing LLM provider: huggingface (model: openai-community/gpt2)
2026-01-14 16:33:51 | INFO     | Orchestrator    | Initialized 5 agents: ['DataFetcher', 'Analyzer', 'DecisionMaker', 'Notifier', 'Supervisor']
2026-01-14 16:33:51 | INFO     | WorkflowManager | Registered workflow 'enterprise_analysis' with 5 steps
2026-01-14 16:33:51 | INFO     | WorkflowManager | Registered workflow 'quick_sentiment_check' with 3 steps
2026-01-14 16:33:51 | INFO     | Orchestrator    | Orchestrator initialized successfully
2026-01-14 16:33:51 | INFO     | Orchestrator    | ================================================================================
2026-01-14 16:33:51 | INFO     | Orchestrator    | Starting workflow: enterprise_analysis
2026-01-14 16:33:51 | INFO     | Orchestrator    | ================================================================================
2026-01-14 16:33:51 | INFO     | Orchestrator    | Execution plan: 5 level(s)
2026-01-14 16:33:51 | INFO     | Orchestrator    |   Level 1: DataFetcher
2026-01-14 16:33:51 | INFO     | Orchestrator    |   Level 2: Analyzer
2026-01-14 16:33:51 | INFO     | Orchestrator    |   Level 3: DecisionMaker
2026-01-14 16:33:51 | INFO     | Orchestrator    |   Level 4: Notifier
2026-01-14 16:33:51 | INFO     | Orchestrator    |   Level 5: Supervisor
2026-01-14 16:33:51 | INFO     | Orchestrator    | 
============================================================
2026-01-14 16:33:51 | INFO     | Orchestrator    | Executing Level 1/5
2026-01-14 16:33:51 | INFO     | Orchestrator    | ============================================================
2026-01-14 16:33:51 | INFO     | Orchestrator    | Executing agent: DataFetcher
2026-01-14 16:33:51 | INFO     | DataFetcher     | Starting execution with inputs: []
2026-01-14 16:33:51 | WARNING  | DataFetcher     | No OpenWeatherMap API key found, using mock data
2026-01-14 16:33:51 | INFO     | DataFetcher     | Successfully fetched weather data for London
2026-01-14 16:33:51 | WARNING  | DataFetcher     | No NewsAPI key found, using mock data
2026-01-14 16:33:51 | INFO     | DataFetcher     | Successfully fetched 3 news articles
2026-01-14 16:33:51 | INFO     | DataFetcher     | Execution completed successfully in 0.00s (attempt 1/4)
2026-01-14 16:33:51 | INFO     | Orchestrator    | 
============================================================
2026-01-14 16:33:51 | INFO     | Orchestrator    | Executing Level 2/5
2026-01-14 16:33:51 | INFO     | Orchestrator    | ============================================================
2026-01-14 16:33:51 | INFO     | Orchestrator    | Executing agent: Analyzer
2026-01-14 16:33:51 | INFO     | Analyzer        | Starting execution with inputs: ['raw_data']
